"Story","Title","Result","Date","Stability","Duration (s)"
"Assignment 2","Validate that there are 5 records found","SUCCESS","2019-03-20T21:14:05.071-07:00[America/Los_Angeles]","0.0","2.29"
"Assignment 2","Validate that largest city is Hyderabad Amaravati","SUCCESS","2019-03-20T21:14:07.388-07:00[America/Los_Angeles]","0.0","0.2"
"Assignment 2","Print the details of Madhya Pradesh on command line","SUCCESS","2019-03-20T21:14:07.593-07:00[America/Los_Angeles]","0.0","0.18"
"Assignment 4","Validate that user is successfully able to login","SUCCESS","2019-03-20T21:14:09.912-07:00[America/Los_Angeles]","0.0","0.33"
"Assignment 4","Validate the response in case of invalid credentials","SUCCESS","2019-03-20T21:14:10.238-07:00[America/Los_Angeles]","0.0","0.29"
"Assignment 3","Validate that post request is successful and status code is 201 & success code is operation_success","SUCCESS","2019-03-20T21:14:10.559-07:00[America/Los_Angeles]","0.0","0.24"
"Assignment 3","Validate that post request is successful and status code is 201 & success code is operation_success","SUCCESS","2019-03-20T21:14:10.797-07:00[America/Los_Angeles]","0.0","0.19"
"Assignment 1","verify the total number of records as 36 when country code is IND","SUCCESS","2019-03-20T21:14:11.005-07:00[America/Los_Angeles]","0.0","0.21"
"Assignment 1","verify the total number of records to be 0 when country code is ind","SUCCESS","2019-03-20T21:14:11.211-07:00[America/Los_Angeles]","0.0","0.21"
"Assignment 1","verify the total number of records to be 0 when country code is Aus","SUCCESS","2019-03-20T21:14:11.423-07:00[America/Los_Angeles]","0.0","0.21"
